timestep,UES_Northwest,UES_Siberia,UES_Middle_Volga,UES_Urals,UES_Center,UES_South
2017-01-01 00:00,964.67,1006.27,1032.8,953.23,1050.17,1706.3
2017-01-01 01:00,984.79,1003.79,1033.34,946.79,1051.15,1592.17
2017-01-01 02:00,962.54,1005.09,1029.51,944.35,1039.84,1561.85
2017-01-01 03:00,888.44,1002.38,976.34,906.15,977.04,1534.37
2017-01-01 04:00,847.1,1002.58,945.28,894.08,938.27,1517.58
2017-01-01 05:00,843.43,1006.92,943.14,893.98,935.59,1482.04
2017-01-01 06:00,849.47,1009.39,957.27,902.69,948.43,1505.49
2017-01-01 07:00,877.95,1015.82,979.53,920.75,970.69,1529.55
2017-01-01 08:00,880.34,1020.81,998.2,942.58,977.76,1540.35
2017-01-01 09:00,868.06,1013.46,978.27,937.2,953.91,1551.81
2017-01-01 10:00,880.03,1010.26,1007.73,960.54,981.56,1571.83
2017-01-01 11:00,903.41,1014.38,1009.75,957.99,991.09,1581.82
2017-01-01 12:00,907.25,1009.19,1007.3,953.57,992.61,1582.53
2017-01-01 13:00,936.31,1026.59,1024.73,965.61,1017.23,1588.47
2017-01-01 14:00,954.57,1039.81,1047.96,985.96,1040.78,1595.1
2017-01-01 15:00,1126.69,1101.33,1243.88,1158.14,1237.81,1751.95
2017-01-01 16:00,1176.26,1100.26,1261.18,1172.47,1266.6,1783.71
2017-01-01 17:00,1220.54,1068.46,1270.52,1173.66,1305.48,1798.62
2017-01-01 18:00,1224.5,1085.36,1271.45,1180.78,1313.19,1859.62
2017-01-01 19:00,1223.23,1100.13,1271.45,1187.13,1311.8,1815.61
2017-01-01 20:00,1225.41,1086.27,1270.12,1168.39,1314.64,1774.56
2017-01-01 21:00,1221.56,1065.9,1265.13,1145.62,1311.21,1767.76
2017-01-01 22:00,1068.46,1019.32,1107.5,1006.62,1141.64,1731.27
2017-01-01 23:00,946.73,1003.24,999.38,944.71,1009.12,1689.03
