timestep,UES_Northwest,UES_Siberia,UES_Center
2017-01-01 00:00,767,918,982
2017-01-01 01:00,675,889,848
2017-01-01 02:00,717,933,920
2017-01-01 03:00,683,947,885
2017-01-01 04:00,633,934,829
2017-01-01 05:00,593,895,782
2017-01-01 06:00,522,863,690
2017-01-01 07:00,548,861,699
2017-01-01 08:00,405,718,535
2017-01-01 09:00,324,643,417
2017-01-01 10:00,328,740,436
2017-01-01 11:00,531,934,695
2017-01-01 12:00,548,933,694
2017-01-01 13:00,723,848,915
2017-01-01 14:00,771,943,971
2017-01-01 15:00,837,989,1061
2017-01-01 16:00,865,963,1086
2017-01-01 17:00,862,960,1109
2017-01-01 18:00,823,952,1043
2017-01-01 19:00,741,944,953
2017-01-01 20:00,664,863,852
2017-01-01 21:00,614,767,786
2017-01-01 22:00,570,750,733
2017-01-01 23:00,602,593,651
2017-01-02 00:00,773,923,840
2017-01-02 01:00,590,935,740
2017-01-02 02:00,522,931,663
2017-01-02 03:00,503,923,663
2017-01-02 04:00,514,947,661
2017-01-02 05:00,454,921,601
2017-01-02 06:00,549,931,721
2017-01-02 07:00,558,996,745
2017-01-02 08:00,797,996,1014
2017-01-02 09:00,846,1032,1073
2017-01-02 10:00,995,1109,1255
2017-01-02 11:00,986,1092,1241
2017-01-02 12:00,884,995,1114
2017-01-02 13:00,974,1092,1229
2017-01-02 14:00,983,1115,1238
2017-01-02 15:00,996,1090,1242
2017-01-02 16:00,1063,1032,1324
2017-01-02 17:00,1064,1026,1324
2017-01-02 18:00,914,927,1126
2017-01-02 19:00,898,889,1098
2017-01-02 20:00,888,867,1093
2017-01-02 21:00,767,765,946
2017-01-02 22:00,608,580,753
2017-01-02 23:00,543,303,670
2017-01-03 00:00,689,818,834
2017-01-03 01:00,623,779,769
2017-01-03 02:00,567,811,707
2017-01-03 03:00,532,784,686
2017-01-03 04:00,554,821,711
2017-01-03 05:00,645,869,799
2017-01-03 06:00,810,845,872
2017-01-03 07:00,942,886,1019
2017-01-03 08:00,880,948,1118
2017-01-03 09:00,1019,944,1295
2017-01-03 10:00,1282,945,1375
2017-01-03 11:00,1309,939,1402
2017-01-03 12:00,1174,884,1252
2017-01-03 13:00,1157,904,1230
2017-01-03 14:00,1206,907,1270
2017-01-03 15:00,1207,913,1260
2017-01-03 16:00,1256,900,1307
2017-01-03 17:00,1201,792,1246
2017-01-03 18:00,1215,796,1273
2017-01-03 19:00,1185,739,1237
2017-01-03 20:00,1064,593,1110
2017-01-03 21:00,1061,721,1116
2017-01-03 22:00,778,318,819
2017-01-03 23:00,467,312,490
2017-01-04 00:00,692,768,843
2017-01-04 01:00,608,796,755
2017-01-04 02:00,597,829,746
2017-01-04 03:00,609,857,762
2017-01-04 04:00,667,878,839
2017-01-04 05:00,674,844,842
2017-01-04 06:00,745,855,918
2017-01-04 07:00,837,884,1052
2017-01-04 08:00,851,864,1050
2017-01-04 09:00,1047,904,1286
2017-01-04 10:00,1099,857,1337
2017-01-04 11:00,1107,867,1339
2017-01-04 12:00,1118,892,1352
2017-01-04 13:00,1133,941,1373
2017-01-04 14:00,1148,939,1386
2017-01-04 15:00,1118,915,1343
2017-01-04 16:00,1167,899,1397
2017-01-04 17:00,1181,918,1413
2017-01-04 18:00,1129,873,1353
2017-01-04 19:00,1017,838,1230
2017-01-04 20:00,936,804,1126
2017-01-04 21:00,803,575,968
2017-01-04 22:00,766,555,916
2017-01-04 23:00,699,559,833
2017-01-05 00:00,848,924,1015
2017-01-05 01:00,738,916,903
2017-01-05 02:00,660,901,839
2017-01-05 03:00,668,916,833
2017-01-05 04:00,694,961,864
2017-01-05 05:00,771,994,944
2017-01-05 06:00,831,998,1015
2017-01-05 07:00,831,987,1023
2017-01-05 08:00,912,955,1103
2017-01-05 09:00,1100,996,1317
2017-01-05 10:00,1199,1002,1423
2017-01-05 11:00,1200,1003,1418
2017-01-05 12:00,1197,1012,1413
2017-01-05 13:00,1214,1032,1438
2017-01-05 14:00,1217,1036,1441
2017-01-05 15:00,1197,1012,1401
2017-01-05 16:00,1269,968,1463
2017-01-05 17:00,1277,954,1470
2017-01-05 18:00,1221,934,1426
2017-01-05 19:00,1070,877,1281
2017-01-05 20:00,1048,817,1245
2017-01-05 21:00,976,768,1141
2017-01-05 22:00,821,630,993
2017-01-05 23:00,742,333,876
2017-01-06 00:00,870,938,1051
2017-01-06 01:00,756,907,932
2017-01-06 02:00,726,926,891
2017-01-06 03:00,700,912,867
2017-01-06 04:00,760,950,940
2017-01-06 05:00,851,999,1047
2017-01-06 06:00,900,1000,1108
2017-01-06 07:00,887,958,1082
2017-01-06 08:00,1083,1010,1312
2017-01-06 09:00,1228,1029,1482
2017-01-06 10:00,1304,1011,1543
2017-01-06 11:00,1317,1033,1554
2017-01-06 12:00,1353,1071,1603
2017-01-06 13:00,1341,1094,1602
2017-01-06 14:00,1346,1094,1609
2017-01-06 15:00,1330,1078,1587
2017-01-06 16:00,1412,1081,1678
2017-01-06 17:00,1430,1062,1694
2017-01-06 18:00,1386,1054,1648
2017-01-06 19:00,1344,1003,1614
2017-01-06 20:00,1248,963,1516
2017-01-06 21:00,1058,847,1293
2017-01-06 22:00,982,792,1201
2017-01-06 23:00,845,784,1052
2017-01-07 00:00,888,930,1115
2017-01-07 01:00,795,885,991
2017-01-07 02:00,754,956,941
2017-01-07 03:00,677,880,847
2017-01-07 04:00,745,990,935
2017-01-07 05:00,802,998,999
2017-01-07 06:00,833,1014,1026
2017-01-07 07:00,847,986,1049
2017-01-07 08:00,842,977,1059
2017-01-07 09:00,883,975,1079
2017-01-07 10:00,983,943,1216
2017-01-07 11:00,998,937,1228
2017-01-07 12:00,1002,940,1227
2017-01-07 13:00,1002,945,1229
2017-01-07 14:00,995,916,1222
2017-01-07 15:00,996,906,1224
2017-01-07 16:00,1023,875,1238
2017-01-07 17:00,1026,833,1236
2017-01-07 18:00,916,763,1100
2017-01-07 19:00,965,756,1176
2017-01-07 20:00,777,624,948
2017-01-07 21:00,424,319,513
2017-01-07 22:00,628,565,769
2017-01-07 23:00,576,331,709
2017-01-08 00:00,731,842,907
2017-01-08 01:00,647,820,804
2017-01-08 02:00,581,830,720
2017-01-08 03:00,566,828,709
2017-01-08 04:00,609,849,763
2017-01-08 05:00,699,895,874
2017-01-08 06:00,782,950,980
2017-01-08 07:00,785,958,990
2017-01-08 08:00,842,905,1075
2017-01-08 09:00,852,959,1073
2017-01-08 10:00,874,883,1078
2017-01-08 11:00,967,920,1216
2017-01-08 12:00,1061,967,1317
2017-01-08 13:00,1122,1000,1400
2017-01-08 14:00,1100,1015,1367
2017-01-08 15:00,1141,980,1418
2017-01-08 16:00,1166,998,1432
2017-01-08 17:00,1137,927,1390
2017-01-08 18:00,1115,894,1354
2017-01-08 19:00,1069,907,1310
2017-01-08 20:00,985,831,1219
2017-01-08 21:00,870,773,1076
2017-01-08 22:00,721,585,890
